gridmet_id,fbfm40_code,evt_code,evc_code,evh_code,canopy_cover,fvt_code,fvc_code,fbfm40_group
fire_00319,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00320,102.0,9336.0,224.0,202.0,0.0,2282.0,112.0,grass
fire_00321,102.0,9301.0,343.0,304.0,0.0,2270.0,124.0,grass
fire_00322,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00323,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00324,122.0,7092.0,236.0,210.0,0.0,2092.0,113.0,grass_shrub
fire_00325,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00326,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00327,123.0,7092.0,256.0,220.0,0.0,2092.0,115.0,grass_shrub
fire_00328,102.0,7131.0,343.0,303.0,0.0,2131.0,126.0,grass
fire_00329,122.0,7114.0,132.0,108.0,35.0,2114.0,103.0,grass_shrub
