County,incident_acres_burned,incident_longitude,incident_latitude,incident_type,Date
los angeles,190.0,-117.771,34.235,,2014-08-14
los angeles,274.0,-117.867,34.267,,2014-08-17
nevada,84.0,-120.0805,39.3918,,2014-08-18
kern,4045.0,-118.4747,35.7206,,2014-08-18
trinity,461.0,-122.946,40.7412,,2014-08-24
shasta,1375.0,-122.171,40.7101,,2014-09-10
tuolumne,70.0,-120.3434,37.8316,,2014-09-04
humboldt,210.0,-123.753,41.134,,2014-09-12
napa,27.0,-122.384054,38.695961,,2014-09-11
mariposa,311.0,40.34,37.0,,2014-10-07
el dorado,97717.0,-120.629714,38.805437,,2014-09-13
siskiyou,200.0,-121.851,41.485,,2015-02-24
orange,968.0,-117.601,33.748,,2014-09-12
nevada,247.0,-120.999508,39.113682,,2014-09-13
madera,320.0,-119.604124,37.311915,,2014-09-14
siskiyou,516.0,-122.37432,41.42384,,2014-09-15
san bernardino,48.0,-117.70643,33.93869,,2014-10-16
el dorado,94.0,-120.028,38.59,,2014-09-14
el dorado,20.0,-120.1140659,38.9195001,,2014-09-25
san diego,80.0,-116.9454387,32.6449163,,2015-06-26
plumas,137.0,-120.70166666667,40.050833333333,,2015-04-13
riverside,1049.0,-117.642759,33.884313,,2015-04-18
merced,692.0,-121.06963,37.08312,,2015-05-11
humboldt,20.0,-123.8292,41.1513,,2015-06-10
trinity,1542.0,-123.168,40.924,,2015-06-10
kern,67.0,-120.19482,35.77937,,2015-06-15
napa,38.0,-122.3415,38.5287,,2015-06-16
amador,60.0,-121.135426,38.260777,,2015-06-16
tehama,55.0,-122.552,40.0133,,2015-06-17
san diego,171.0,-116.8534,32.9421,,2015-06-17
san bernardino,31359.0,-116.89277777778,34.160277777778,,2015-06-17
yuba,158.0,-121.26471,39.2688,,2015-06-18
madera,920.0,-119.523943,37.165767,,2015-06-18
madera,135.0,-119.6958,37.072561,,2015-06-21
lassen,60.0,-121.033667,40.875667,,2015-06-19
alpine,0.0,-119.751944,38.598056,,2015-06-19
los angeles,415.0,-118.535793,34.361007,,2015-06-24
san bernardino,100.0,-117.243878,34.165974,,2015-06-25
napa,19.0,-122.181878,38.519132,,2015-06-27
mendocino,35.0,-123.248214,39.7806004,,2015-06-28
tehama,170.0,-122.3638,39.8448,,2015-07-04
mendocino,23.0,-123.303,39.0263,,2015-07-04
solano,150.0,-122.0789,38.4113,,2015-07-06
solano,40.0,-122.1578,38.1029,,2015-07-10
shasta,18.0,-122.4397,40.5953,,2015-07-07
san bernardino,54.0,-117.0487863,34.0783472,,2015-07-12
san luis obispo,95.0,-121.0157,35.7183,,2015-07-10
riverside,21.0,-117.43942,33.986204,,2015-07-12
orange,214.0,-117.7274,33.7626,,2015-07-13
siskiyou,181.0,-122.5029,41.8048,,2015-07-13
san diego,25.0,-116.73472,33.21407,,2015-07-16
san bernardino,4250.0,-117.478,34.339,,2015-07-17
los angeles,200.0,-117.683,34.367,,2015-07-17
san benito,25.0,-121.5681,36.8727,,2015-07-20
tulare,430.0,-118.824235,36.085212,,2015-07-21
siskiyou,24.0,-121.891226,41.999341,,2015-07-21
napa,8051.0,-122.1145,38.4994,Wildfire,2015-07-22
napa,65.0,-122.43172,38.40958,,2016-10-10
placer,26.0,-121.1548,38.9361,,2015-07-22
el dorado,75.0,-120.404,38.776,,2015-07-23
modoc,116.0,-121.172117,41.29226,,2015-07-23
modoc,77.0,-121.101623,40.856422,,2015-07-23
san diego,167.0,-116.868611,33.383889,,2015-07-24
san diego,25.0,-116.51684,32.682547,,2015-07-24
nevada,2304.0,-120.882313,39.192088,,2015-07-25
humboldt,158.0,-123.784067,41.295667,,2015-07-24
madera,5702.0,-119.50014,37.279722,,2015-07-25
calaveras,114.0,-120.5577,38.052,,2015-08-13
stanislaus,40.0,-121.20324,37.24523,,2015-07-28
humboldt,16.0,-123.774,40.1093,,2015-07-28
tulare,6980.0,-118.54,36.24,,2015-07-19
butte,400.0,-121.38794,39.43963,,2015-07-29
lake,69636.0,-122.4762475,38.8863538,,2015-07-29
shasta,75.0,-122.199227,40.509552,,2015-07-29
shasta,212.0,-122.439939,40.415108,,2015-07-29
tuolumne,204.0,-120.15644,37.823,,2015-07-29
tuolumne,112.0,-120.61691,37.83618,,2015-08-15
contra costa,195.0,-121.68113,37.81629,,2015-07-30
shasta,90.0,-122.20109,40.49865,,2015-07-30
tulare,86.0,-118.9009,36.49845,,2015-07-30
mendocino,50.0,-123.36316,39.43301,,2015-07-30
riverside,500.0,-116.5387,33.5736,,2015-08-10
modoc,4863.0,-121.392,41.399,,2015-07-30
shasta,75.0,-121.93244,40.67868,,2015-08-02
santa barbara,52.0,-120.2903,34.9522,,2015-08-01
yuba,30.0,-121.18735,39.33303,,2015-08-03
shasta,59.0,-122.40546,40.3929,,2015-08-03
lassen,10570.0,-120.105,40.938,,2015-08-03
san diego,55.0,-117.2886249,33.4115972,,2015-08-09
tehama,110.0,-121.7786799,40.3506868,,2015-08-08
lake,25118.0,-122.4867319,38.8142503,,2015-08-09
napa,25118.0,-122.4867319,38.8142503,,2015-08-09
san luis obispo,2446.0,-120.6269,35.3477,,2015-08-16
humboldt,146.0,-124.0720419,40.1058823,,2015-08-18
alameda,2850.0,-121.3732,37.3845,,2015-08-19
lake,22.0,-122.53428,38.831478,,2015-08-24
lake,215.0,-122.879272,38.925764,,2015-08-22
san bernardino,55.0,-116.883,34.23,,2015-08-23
trinity,128.0,-122.96174,40.724898,,2015-08-25
lake,673.0,-122.0,55.23,,2015-09-02
butte,72.0,-121.0,26.42,,2015-09-02
lassen,30.0,-121.194256,41.12362,,2015-08-29
tuolumne,108.0,-120.30188,38.04684,,2015-09-08
trinity,35.0,41.46,40.0,,2015-09-08
lassen,40.0,-120.553075,40.400196,,2015-09-09
fresno,170.0,-120.553075,40.400196,,2015-09-09
butte,70868.0,-120.70418,38.32974,Wildfire,2015-09-09
butte,1040.0,-121.3363,39.5218,,2015-09-11
shasta,109.0,-122.52541,40.47512,,2015-09-11
butte,104.0,-121.8938,39.8707,,2015-10-02
fresno,151623.0,-118.905,36.874,,2015-07-31
merced,30.0,-121.08036,37.2171,,2016-04-24
ventura,50.0,-118.879444,34.15,,2015-11-07
san benito,690.0,-121.32734,36.70854,,2015-10-12
santa barbara,21.0,-119.63216,34.4828,,2015-10-29
nevada,30.0,-121.194,39.081,,2015-09-22
monterey,1086.0,-121.589554,36.3699644,,2015-09-19
monterey,95.0,-121.7556029,36.5696373,,2015-09-19
los angeles,0.0,-118.7892593,34.6888731,,2016-04-19
tuolumne,85.0,-120.528836,37.927613,,2016-05-30
monterey,3876.0,-121.20059,36.38123,,2016-05-22
los angeles,156.0,-118.354,34.276,,2016-05-23
fresno,278.0,-119.654,36.88286,,2016-05-25
stanislaus,120.0,-121.42238,37.17072,,2016-06-07
butte,91.0,-121.78973,39.33035,,2016-05-27
butte,30.0,-121.595093,39.624017,,2016-05-29
san luis obispo,150.0,-120.39993,35.61961,,2016-05-10
monterey,25.0,-121.0381507,35.8378273,,2016-05-12
fresno,132.0,-119.38248,36.78769,,2016-05-15
placer,169.0,-121.3090268,38.8390117,,2016-05-17
