County,Date,Year,Month,Day,incident_acres_burned,log_acres_burned,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),No_Drought,D0,D1,D2,D3,D4,Drought_Score,Drought_D3_D4,Any_Drought,Temp_Range,Avg_Temp,Is_Fire_Season,Season,Fire_Impact_Per_Capita,Max_Air_Temp_mean_7d,Max_Air_Temp_max_7d,Min_Air_Temp_mean_7d,Min_Air_Temp_min_7d,Precip_sum_7d,Precip_max_7d,Avg_Wind_Speed_mean_7d,Avg_Wind_Speed_max_7d,Max_Rel_Hum_mean_7d,Max_Rel_Hum_min_7d,Sol_Rad_mean_7d,Avg_Vap_Pres_mean_7d,ETo_sum_7d,Avg_Soil_Temp_mean_7d,Wind_Run_sum_7d,Population,Density,Land Area (mi)
riverside,2013-06-08,2013,6,8,42.0,3.7612001156935624,0.24,0.0,676.0,14.8,83.9,58.7,83.0,5.0,119.8,71.7,0.0,100.0,89.23,78.54,0.0,0.0,267.77000000000004,0.0,100.0,25.200000000000003,71.30000000000001,1,Summer,1.8574175527727707e-05,84.5,97.2,58.41428571428571,55.4,0.0,0.0,4.342857142857143,4.8,81.57142857142857,78.0,648.4285714285714,14.442857142857145,1.55,71.48571428571428,733.7,2261204.0,313.66403107227075,7209.0
lake,2013-06-10,2013,6,10,28.0,3.367295829986474,0.08,0.0,305.0,13.5,63.8,55.8,87.0,4.9,116.4,70.2,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,8.0,59.8,1,Summer,0.0004378146793007474,89.88571428571429,106.5,50.52857142857143,47.0,0.0,0.0,4.4714285714285715,6.3,88.42857142857143,86.0,777.5714285714286,14.085714285714287,1.9100000000000001,70.54285714285714,751.6000000000001,63954.0,50.9593625498008,1255.0
solano,2013-06-10,2013,6,10,28.0,3.367295829986474,0.225,0.0,525.0,13.0,68.9,58.0,75.0,6.3,152.1,72.1,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,10.900000000000006,63.45,1,Summer,6.671845289438945e-05,92.48571428571428,104.3,59.84285714285714,56.2,0.0,0.0,4.971428571428572,8.6,74.0,60.0,708.4285714285714,14.171428571428573,1.61,73.18571428571428,834.9000000000001,419674.0,510.5523114355231,822.0
sonoma,2013-06-10,2013,6,10,28.0,3.367295829986474,0.04,0.0,180.0,14.1,61.2,54.0,97.0,3.7,88.5,64.9,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,7.200000000000003,57.6,1,Summer,5.714367348104973e-05,70.57142857142857,83.1,47.5,32.0,0.0,0.0,4.842857142857143,6.3,95.42857142857143,93.0,590.5714285714286,13.514285714285716,1.17,65.28571428571429,811.8,489993.0,311.1066666666667,1575.0
amador,2013-06-12,2013,6,12,96.0,4.574710978503383,0.25,0.0,717.0,10.0,81.6,51.1,84.0,4.0,95.1,72.8,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,30.499999999999993,66.35,1,Summer,0.00258732212160414,87.07142857142857,103.5,53.57142857142857,47.5,0.0,0.0,3.1714285714285717,3.5,84.85714285714286,66.0,650.0,12.971428571428572,1.64,73.41428571428571,533.4,37104.0,62.35966386554622,595.0
madera,2013-06-12,2013,6,12,75.0,4.330733340286331,0.25,0.0,720.0,12.5,90.7,57.3,88.0,1.2,27.9,79.0,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,33.400000000000006,74.0,1,Summer,0.0004949612940268071,92.7,103.3,59.857142857142854,56.2,0.0,0.0,1.1428571428571428,1.2,84.0,78.0,670.7142857142857,16.485714285714284,1.62,78.68571428571428,192.6,151527.0,70.90641085634067,2137.0
fresno,2013-06-13,2013,6,13,108.0,4.6913478822291435,0.34,0.0,775.0,7.9,86.0,48.7,57.0,9.1,217.7,72.3,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,37.3,67.35,1,Summer,0.00011428027236798248,93.60000000000001,102.9,60.84285714285715,56.2,0.0,0.0,6.371428571428572,7.4,68.85714285714286,56.0,707.1428571428571,14.042857142857143,2.13,72.97142857142858,1072.1,945045.0,158.6178247734139,5958.0
fresno,2013-06-13,2013,6,13,35.0,3.58351893845611,0.34,0.0,775.0,7.9,86.0,48.7,57.0,9.1,217.7,72.3,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,37.3,67.35,1,Summer,3.7035273452586916e-05,93.60000000000001,102.9,60.84285714285715,56.2,0.0,0.0,6.371428571428572,7.4,68.85714285714286,56.0,707.1428571428571,14.042857142857143,2.13,72.97142857142858,1072.1,945045.0,158.6178247734139,5958.0
placer,2013-06-13,2013,6,13,237.0,5.472270673671475,0.25,0.0,714.0,9.5,82.4,52.8,73.0,3.8,91.2,71.4,0.0,100.0,100.0,0.0,0.0,0.0,200.0,0.0,100.0,29.60000000000001,67.6,1,Summer,0.0006578527353627766,90.52857142857144,105.9,60.65714285714286,53.3,0.0,0.0,3.457142857142857,4.0,77.42857142857143,61.0,646.5714285714286,14.457142857142857,1.7699999999999998,75.05714285714285,580.9,360263.0,256.0504619758351,1407.0
riverside,2013-06-14,2013,6,14,40.0,3.713572066704308,0.24,0.0,691.0,14.0,84.9,56.6,83.0,4.4,105.0,72.0,0.0,100.0,89.21,79.2,0.0,0.0,268.40999999999997,0.0,100.0,28.300000000000004,70.75,1,Summer,1.7689690978788292e-05,84.85714285714286,93.4,58.41428571428572,56.8,0.0,0.0,4.5,5.0,82.14285714285714,80.0,677.1428571428571,14.242857142857144,1.65,71.81428571428572,755.3,2261204.0,313.66403107227075,7209.0
madera,2013-06-16,2013,6,16,480.0,6.175867270105761,0.25,0.0,737.0,10.5,91.9,52.1,80.0,1.2,28.9,78.6,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,39.800000000000004,72.0,1,Summer,0.0031677522817715655,89.41428571428571,93.8,55.128571428571426,49.4,0.0,0.0,1.1714285714285713,1.2,82.28571428571429,71.0,695.7142857142857,12.700000000000001,1.61,78.61428571428571,194.9,151527.0,70.90641085634067,2137.0
mariposa,2013-06-16,2013,6,16,1708.0,7.443663683115591,0.25,0.0,737.0,10.5,91.9,52.1,80.0,1.2,28.9,78.6,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,39.800000000000004,72.0,1,Summer,0.09552038476595269,89.41428571428571,93.8,55.128571428571426,49.4,0.0,0.0,1.1714285714285713,1.2,82.28571428571429,71.0,695.7142857142857,12.700000000000001,1.61,78.61428571428571,194.9,17881.0,12.340234644582472,1449.0
fresno,2013-06-17,2013,6,17,46.0,3.8501476017100584,0.34,0.0,736.0,8.9,90.3,54.8,54.0,8.6,207.2,70.8,0.0,100.0,100.0,100.0,0.0,0.0,300.0,0.0,100.0,35.5,72.55,1,Summer,4.867493082339994e-05,89.32857142857142,93.8,54.92857142857143,48.7,0.0,0.0,7.071428571428571,9.1,64.0,50.0,726.5714285714286,10.12857142857143,2.18,71.87142857142858,1185.2,945045.0,158.6178247734139,5958.0
