gridmet_id,UniqueId,Name,StartedDateOnly,Latitude,Longitude,AcresBurned
fire_00140,8d9b87e4-6fdb-49e4-ba6d-be85ffd6b222,Sawmill Fire,2016-09-25,38.80017,-122.82895,1547.0
fire_00141,abd0a296-217d-4a6a-9da0-5eb05f56f863,Tobin Fire,2016-09-26,39.92,-121.32,248.0
fire_00142,2dfac408-d2ab-4ff9-94aa-91be9d07bb59,Loma Fire,2016-09-26,37.10632,-121.85318,4474.0
fire_00143,59084c8f-904c-42cb-9aa8-cae4a1f8c6ef,Sacata Fire,2016-10-11,36.94536,-119.25959,2100.0
fire_00144,81ef7517-ab3c-4d1a-8ddd-b5d69404676f,Emerald Fire,2016-10-14,38.93449,-120.10744,176.0
fire_00145,6f600260-2bdb-4f53-9d1a-eab8afb3a11a,Gopher Fire,2016-11-13,33.254355,-117.158475,28.0
fire_00146,ca1227b3-1458-44c9-b32e-2994e309f940,Marek Fire,2016-11-14,34.31,-118.335,4824.0
fire_00147,2458cd6c-82d6-43ef-b509-706e3af69451,Jacobson Fire,2016-10-20,36.217,-118.551,10.0
fire_00148,89c304db-e288-4582-90d4-884d57fd71f9,Meadow Fire,2016-10-29,35.984,-118.551,4347.0
fire_00149,2ca11d45-8139-4c16-8af0-880d99b21e82, Bridge Fire,2017-10-31,40.774,-122.309,37.0
fire_00150,95960fa6-58ba-4b4e-aeb2-ada97d699908,Grace Fire,2017-04-03,40.48712,-121.85645,45.0
fire_00151,31b0e75c-b0e2-4796-b8a7-efc49e4c59a5,West Fire,2017-04-03,41.16716,-120.58342,380.0
fire_00152,b12ae71e-c6c8-4eab-9aab-d17d1879a639,66 Fire,2017-04-13,33.56777,-116.08003,15.0
fire_00153,0cacf259-1ba3-4e8c-a938-feaab2655c4b,Jayne Fire,2017-04-20,36.07228,-120.26561,4532.0
fire_00154,b8bdbd12-e3a2-49e0-8d65-7c18b8d584bf,Soledad Fire,2017-04-24,36.44141,-121.34695,10.0
fire_00155,17a7d561-bee7-454d-a0aa-ac450907f6fd,El Dorado Fire,2017-04-28,36.530836,-120.206592,750.0
fire_00156,d804eebf-71de-46de-90c2-cdf0694d27e3,Tumey Fire,2017-04-29,36.5355,-120.6585,126.0
fire_00157,45699833-fa34-4eed-9520-8c8019426122,Tower Fire,2017-04-30,34.30104,-117.45646,150.0
fire_00158,c254df3f-a241-4983-a880-e12944a9f7b2,Opera Fire,2017-04-30,34.00566,-117.30693,1350.0
fire_00159,7fc71135-ee3b-443c-a859-90672936e0c1,Jameson Fire,2017-04-30,33.7866,-117.5048,12.0
fire_00160,f5237d47-f15b-4f4b-8b1c-6f11235f954d,Fay Fire,2017-05-01,35.71704,-118.30601,19.0
fire_00161,87d7fb46-00f9-4bae-ba35-a7ef8e58a70e,Olive Fire,2017-05-02,35.78286,-120.22647,130.0
fire_00162,c7e3bcbf-1065-4e45-a4a3-bf0b5ac6aa23,Shandon Fire,2017-05-07,35.6879,-120.3317,12.0
fire_00163,eca1021e-dfea-4dec-8470-c0eb7e4d479b,Sonoma Fire,2017-05-10,36.45491,-120.2445,400.0
fire_00164,5115a26e-e8e8-42cd-9aeb-f5c41efd770a,Hub Fire,2017-05-12,35.60001,-118.4683,31.0
fire_00165,63a81990-8521-409d-9c22-92d1c33e0353,Wright Fire,2017-05-12,36.96655,-120.89261,1733.0
fire_00166,1423af4f-16d5-4f19-a01d-fc3ebc124201,Nacimiento Fire,2017-05-14,35.77082,-120.92482,20.0
fire_00167,48c4b519-eaf5-4ae8-9470-31e8770a70ac,Canyon Fire,2017-05-14,33.88466,-116.99229,17.0
fire_00168,9f416f37-a8ca-4127-a6b7-02626fd32e06,Feed Fire,2017-05-14,35.05076,-118.90004,41.0
fire_00169,5b3329f4-1e37-4b5a-9ed6-6f8d74f495c3,Arrow Fire,2017-05-15,35.21177,-119.87525,225.0
fire_00170,0fc2a05e-689f-4c7c-b2b4-a987840b4f2c,Bravo Fire,2017-05-15,35.41283,-118.84466,288.0
fire_00171,75bb079a-1de8-4824-a933-e19f69948438,Pine Fire,2017-05-16,36.1727,-120.86682,18.0
fire_00172,2d12b95c-3f4e-41bc-a771-8ae2cb80b99e,Lonoak Fire,2017-05-17,36.2771,-120.94328,17.0
fire_00173,9a555129-982b-486f-a333-c96b3f9c4d2e,41 Fire,2017-05-17,36.90967,-119.79315,150.0
fire_00174,048c085b-3162-4906-beef-7aa2ba1b868d,Camp Fire,2017-05-18,35.34541,-120.76464,225.0
fire_00175,65062933-27cf-48d7-8e4c-9a7ac78e65ff,Elm Fire,2017-05-18,36.12089,-120.37116,10000.0
fire_00176,3fce8146-ff21-4399-9a94-f37124b34331,City Fire,2017-05-18,35.983,-119.91508,20.0
fire_00177,9348a031-c7b3-4165-890a-37a7eb7405db,Moraga Fire,2017-05-18,33.97155,-117.44148,14.0
fire_00178,b3fc6dff-f13a-41c4-b7f3-e9e960a941d5,Manning Fire,2017-05-19,36.60736,-120.5828,70.0
fire_00179,3d595f75-d59e-4453-b25c-48207b02f529,Deluz Fire,2017-05-19,33.3906,-117.32348,486.0
fire_00180,c4d0a25f-02f6-4877-a944-8f5d50bf2335,Gate Fire,2017-05-20,32.65597,-116.80527,2056.0
fire_00181,fbc11fc4-573b-465f-a9ac-a879ee2cdda2,Rocky Fire,2017-05-20,35.556667,-120.474,17.0
fire_00182,39967485-2cf1-4f0e-9cf1-ccfd25f6e2bf,Ming Fire,2017-05-20,35.4605,-118.85896,506.0
fire_00183,fccf2545-cab8-452e-829c-8379054831f0,Moreno Fire,2017-05-23,33.94673,-117.17773,10.0
fire_00184,06b43461-94d0-4379-a1d6-fd26ba93ceea,Wasioja Fire,2017-05-20,34.9465,-119.8036,190.0
fire_00185,9b9bf8b4-8378-46e5-a760-67e89e2279e2,Ribbonwood Fire,2017-05-24,32.679,-116.29296,25.0
fire_00186,f5ef2d0f-66a7-4d75-a9e8-03c42524d723,Bitterwater Fire,2017-05-22,36.35578,-120.99552,21.0
fire_00187,54ddf2ef-28b0-4c34-bfe0-1d084f4f57e2,Smiley Fire,2017-05-21,33.96419,-117.20507,35.0
fire_00188,bd671dbd-dd3c-413e-b453-4002e382325d,Range Fire,2017-05-25,33.34988,-117.39818,1000.0
fire_00189,45a205f4-bcd2-44bd-886b-26260c686ce7,Lamb Fire,2017-05-25,33.88287,-116.99651,120.0
fire_00190,6fa64139-e5d1-4134-b012-5c1b272ac89a,Champagne Fire,2017-05-28,34.87128,-118.35296,10.0
fire_00191,7272decf-0ae8-47aa-b46c-00fc4cd04816,Rusty Fire,2017-05-28,36.96642,-119.58292,16.0
fire_00192,2db503da-a7b2-47a6-92a6-697799eb63f1,Serenas Fire,2017-05-28,33.58577,-116.07429,48.0
fire_00193,42f21a81-e0a3-4b4d-b837-2e6e2efd75a4,Lombardi Fire,2017-05-28,38.19906,-120.83484,15.0
fire_00194,21e9f99a-35a5-41cd-a44b-92363fbf5081,Panoche Fire,2017-05-28,36.61332,-120.7109,18.0
fire_00195,524b1e23-8921-4195-812d-7ec8ee5020b7,Matz Fire,2017-05-29,34.04412,-116.55326,16.0
fire_00196,92d70dc0-19af-4c87-ab01-8c7051caab73,Fountain Fire ,2017-05-31,35.89423,-119.00334,79.0
fire_00197,67d31514-620f-49d1-b4bd-a3a92efd48ca,Twenty Fire,2017-05-29,39.23205,-121.376,10.0
fire_00198,bf3148c5-75dd-4f79-8b3b-c5b483065b47,Clay Fire,2017-06-01,38.33707,-121.11113,68.0
fire_00199,663d291c-7ba8-415d-9cab-58d41a886cfd,Fairview Fire,2017-06-01,33.94788,-116.59719,26.0
fire_00200,adf741f6-5416-41c5-af26-01240cc361cf,Elk Fire,2017-06-02,35.188,-119.2877,16.0
fire_00201,7967c729-4693-47a1-b1bc-1d82825ca8db,Jones Fire,2017-06-03,41.38247,-120.53443,42.0
fire_00202,b0ffe2e4-ae61-4ad9-b1cc-bf31ff254d8d,Vernon Fire,2017-06-03,33.82165,-116.96079,27.0
fire_00203,14e249f0-f21c-4d2f-bc5f-68d5d177e849,5 Fire,2017-06-03,34.29931,-118.37539,25.0
fire_00204,46c4f0c2-6760-4e42-ac2f-ec25c2486628,Creek Fire ,2017-06-04,35.60633,-118.4642,33.0
fire_00205,80f2c7d1-d28d-43d0-97a3-ff53cc991a8c,Spring Fire ,2017-06-04,40.38944,-122.13088,78.0
fire_00206,b02f2513-9359-45e2-9971-08f7b1f0dc0f,River Fire,2017-06-04,40.03392,-120.1064,67.0
fire_00207,7ea6269d-6ba3-41e1-aff6-b4da1c6611d1,Shirleon Fire ,2017-06-04,33.87107,-116.88097,10.0
fire_00208,304c7c4c-140e-40f4-ac9f-36926c07e5fc,Fish Fire,2017-06-05,37.86549,-122.2102,20.0
fire_00209,8bba8daf-8d47-43e7-8593-fdfa2dea5228,Pine Fire,2017-06-05,35.564124,-118.796513,10.0
fire_00210,549222c5-1be6-4453-896a-caebd19b0bee,Wilbur Fire,2017-06-06,39.52499,-121.64897,91.0
fire_00211,f8b61fab-bd14-4e92-960a-d512693ea8e5,Whitepine Fire,2017-06-06,41.8721,-122.4571,46.0
fire_00212,6802ed2f-5a5a-4a38-a236-e5a688639b6f,Dinely Fire,2017-06-07,36.45809,-118.87676,339.0
fire_00213,f62bd692-7aae-4e46-8284-239150acced0,26 Fire,2017-06-07,37.12759,-120.0193,157.0
fire_00214,2ef06870-3602-4f1a-878d-962f7259ad46,Bodfish Fire,2017-06-10,35.59804,-118.47939,206.0
fire_00215,b11adfe0-b74d-4321-b1bd-3fc0b8f0929b,Breckenridge Fire,2017-06-09,35.37351,-118.84134,35.0
fire_00216,b9142a59-e3dd-4797-b6ed-c5c847b16f67,Hog Fire,2017-06-09,35.80375,-120.52508,14.0
fire_00217,d11a4f65-9523-40d8-989a-6603705e9638,Oakwood Fire,2017-06-10,37.0825,-119.8011,1417.0
fire_00218,a8e4aa40-5e2a-4fd8-a858-d673576cda73,Wild Fire,2017-06-11,36.704679,-120.405077,186.0
