id,lon,lat,start,end
fire_01306,-123.2111007,39.8174372,2020-07-19,2020-08-17
fire_01307,-122.14864,38.48193,2020-07-18,2020-08-16
fire_01308,-122.4393,40.09571,2020-07-18,2020-08-16
fire_01309,-120.85258,38.03106,2020-07-20,2020-08-18
fire_01310,-120.312565,37.813779,2020-07-21,2020-08-19
fire_01311,-117.328234,33.454896,2020-07-21,2020-08-19
fire_01312,-121.68465,37.18725,2020-07-22,2020-08-20
fire_01313,-120.757,40.274,2020-07-23,2020-08-21
fire_01314,-122.836701,38.018089,2020-07-19,2020-08-17
fire_01315,-120.1243296,35.4335197,2020-07-26,2020-08-24
fire_01316,-120.536,40.773,2020-07-27,2020-08-25
fire_01317,-121.10411,38.8825,2020-07-27,2020-08-25
fire_01318,-118.36411,34.65979,2020-07-29,2020-08-27
fire_01319,-119.88673,37.08053,2020-07-31,2020-08-29
fire_01320,-122.637037,39.012743,2020-08-02,2020-08-31
fire_01321,-119.261175,37.19147,2020-08-05,2020-09-03
fire_01322,-116.98669,34.08056,2020-08-06,2020-09-04
fire_01323,-116.692705,32.765615,2020-08-06,2020-09-04
fire_01324,-123.3965,39.4935,2020-08-08,2020-09-06
fire_01325,-121.32361,39.3637,2020-08-10,2020-09-08
fire_01326,-121.18018,37.46377,2020-08-09,2020-09-07
fire_01327,-122.84057,41.68229,2020-08-10,2020-09-08
fire_01328,-123.021635,41.575549,2020-08-12,2020-09-10
fire_01329,-119.027309,37.135474,2020-08-13,2020-09-11
fire_01330,-122.847359,41.211022,2020-08-17,2020-09-15
fire_01331,-120.491594,34.773809,2020-08-17,2020-09-15
fire_01332,-116.68386,33.88831,2020-08-18,2020-09-16
fire_01333,-122.49745,38.56295,2020-08-28,2020-09-26
fire_01334,-122.56656,40.53927,2020-08-28,2020-09-26
fire_01335,-118.4,34.563,2020-08-29,2020-09-27
fire_01336,-117.374419,33.764357,2020-08-30,2020-09-28
fire_01337,-121.003602,38.49375,2020-08-31,2020-09-29
fire_01338,-121.039236,38.464074,2020-09-03,2020-10-02
fire_01339,-121.006635,38.424016,2020-09-04,2020-10-03
fire_01340,-121.450982,39.181047,2020-09-07,2020-10-06
fire_01341,-122.104314,37.821737,2020-09-11,2020-10-10
fire_01342,-120.64541,37.98337,2020-09-13,2020-10-12
fire_01343,-117.138078,34.014728,2020-09-15,2020-10-14
fire_01344,-120.964726,38.659387,2020-09-18,2020-10-17
fire_01345,-121.54475,39.51694,2020-09-22,2020-10-21
fire_01346,-123.88658,40.55823,2020-09-23,2020-10-22
fire_01347,-122.37828,38.56184,2020-09-23,2020-10-22
fire_01348,-122.39033,40.38869,2020-09-25,2020-10-24
fire_01349,-122.18102,40.47646,2020-09-25,2020-10-24
fire_01350,-122.342,40.41486,2020-09-25,2020-10-24
fire_01351,-117.65719,33.73614,2020-09-26,2020-10-25
fire_01352,-117.675067,33.877257,2020-09-26,2020-10-25
fire_01353,-117.51476,34.03343,2020-10-02,2020-10-31
fire_01354,-117.778561,34.146195,2020-10-07,2020-11-05
fire_01355,-120.87054,41.4435,2020-10-18,2020-11-16
fire_01356,-117.62109,33.893351,2020-11-01,2020-11-30
fire_01357,-117.051463,33.773754,2020-11-03,2020-12-02
fire_01358,-117.674967,33.743842,2020-11-02,2020-12-01
fire_01359,-120.374514,41.591948,2020-11-03,2020-12-02
fire_01360,-119.078,34.33622,2020-11-07,2020-12-06
fire_01361,-117.03459,33.93244,2020-11-13,2020-12-12
fire_01362,-118.83967,34.20955,2020-12-15,2021-01-13
fire_01363,-119.51982,37.25086,2020-12-20,2021-01-18
fire_01364,-122.10509,37.08931,2020-12-20,2021-01-18
fire_01365,-122.28823,37.18259,2020-12-19,2021-01-17
fire_01366,-122.1756,37.17749,2020-12-19,2021-01-17
fire_01367,-119.185309,34.99432,2020-12-20,2021-01-18
fire_01368,-116.10723,33.52871,2020-12-20,2021-01-18
fire_01369,-118.5553174,34.3585229,2020-12-20,2021-01-18
fire_01370,-122.13372,37.18381,2020-12-20,2021-01-18
fire_01371,-121.83627,36.98767,2020-12-20,2021-01-18
fire_01372,-117.5910734433329,35.5819816117628,2021-02-12,2021-03-13
fire_01373,-121.627082,41.927772,2021-02-25,2021-03-26
fire_01374,-120.131236,37.813464,2021-02-26,2021-03-27
fire_01375,-122.0536419,40.6758842,2021-03-02,2021-03-31
fire_01376,-118.70009500551254,34.30277328465364,2021-03-05,2021-04-03
fire_01377,-116.582369,32.958961,2021-03-13,2021-04-11
fire_01378,-123.35838,38.99914,2021-03-19,2021-04-17
fire_01379,-121.5896697,38.9743823,2021-03-20,2021-04-18
fire_01380,-121.143154,37.0953436,2021-03-25,2021-04-23
fire_01381,-118.616276,34.449686,2021-03-29,2021-04-27
fire_01382,-122.51771555326388,38.88437128468346,2021-03-30,2021-04-28
fire_01383,-120.856628,38.223179,2021-03-30,2021-04-28
fire_01384,-121.034998,38.773294,2021-04-01,2021-04-30
fire_01385,-116.443391,32.987532,2021-04-02,2021-05-01
fire_01386,-116.767011,33.532246,2021-04-04,2021-05-03
fire_01387,-117.044072,33.86972,2021-04-05,2021-05-04
fire_01388,-121.91936,39.85479,2021-04-08,2021-05-07
fire_01389,-120.85258,38.03106,2021-04-08,2021-05-07
fire_01390,-121.45965,38.28328,2021-04-08,2021-05-07
fire_01391,-121.361339,39.2510745,2021-04-12,2021-05-11
fire_01392,-117.663815,34.454231,2021-04-12,2021-05-11
fire_01393,-120.419624,37.560209,2021-04-14,2021-05-13
fire_01394,-120.094517,40.971612,2021-04-14,2021-05-13
fire_01395,-118.558938,34.079046,2021-04-14,2021-05-13
fire_01396,-117.1116,33.8948,2021-04-18,2021-05-17
fire_01397,-115.917099,33.50994,2021-04-19,2021-05-18
fire_01398,-121.01365,38.56101,2021-04-19,2021-05-18
fire_01399,-118.5044868,34.7591895,2021-04-20,2021-05-19
fire_01400,-123.66003,41.23106,2021-04-21,2021-05-20
fire_01401,-123.23205,39.384319,2021-04-21,2021-05-20
fire_01402,-117.471517,33.965596,2021-04-24,2021-05-23
fire_01403,-120.00392,37.45646,2021-04-27,2021-05-26
fire_01404,-120.8391587117288,37.89346196853137,2021-04-27,2021-05-26
fire_01405,-120.854096,35.932852,2021-04-30,2021-05-29
fire_01406,-119.3484121800294,36.86201725309289,2021-05-01,2021-05-30
fire_01407,-119.5166045,37.1619216,2021-05-01,2021-05-30
fire_01408,-117.089849,33.631955,2021-05-02,2021-05-31
fire_01409,-116.90145,33.895007,2021-05-03,2021-06-01
fire_01410,-119.86047836209606,37.24484944019164,2021-05-07,2021-06-05
fire_01411,-121.333346,39.084872,2021-05-09,2021-06-07
fire_01412,-117.41835464122236,34.383247203440405,2021-05-10,2021-06-08
fire_01413,-117.34832277422022,33.315711565249096,2021-05-10,2021-06-08
fire_01414,-122.238889,38.899722,2021-05-10,2021-06-08
fire_01415,-116.4518615,33.5812044,2021-05-14,2021-06-12
fire_01416,-120.9608439,38.3046414,2021-05-14,2021-06-12
fire_01417,-121.3587065,39.1956433,2021-05-14,2021-06-12
fire_01418,-121.76309,37.24042,2021-05-15,2021-06-13
fire_01419,-116.94956,33.67127,2021-05-16,2021-06-14
fire_01420,-122.49164,40.61468,2021-05-16,2021-06-14
fire_01421,-122.16025,40.10806,2021-05-16,2021-06-14
fire_01422,-121.01273,38.79988,2021-05-17,2021-06-15
fire_01423,-122.916,39.16338,2021-05-18,2021-06-16
fire_01424,-121.76629,39.77144,2021-05-18,2021-06-16
fire_01425,-118.20355,36.59717,2021-05-19,2021-06-17
fire_01426,-119.10788,36.47887,2021-05-19,2021-06-17
fire_01427,-118.85799,36.03223,2021-05-19,2021-06-17
fire_01428,-118.76857,36.03887,2021-05-19,2021-06-17
fire_01429,-121.558858,36.151231,2021-05-19,2021-06-17
fire_01430,-118.86258,34.83498,2021-05-19,2021-06-17
fire_01431,-116.233056,32.903917,2021-05-20,2021-06-18
fire_01432,-116.707967,33.551747,2021-05-20,2021-06-18
fire_01433,-118.1420738,36.6000177,2021-05-20,2021-06-18
fire_01434,-122.12107,40.53297,2021-05-21,2021-06-19
fire_01435,-116.1147496,33.499081,2021-05-21,2021-06-19
fire_01436,-116.9543,33.09183,2021-05-21,2021-06-19
fire_01437,-121.39247,38.728881,2021-05-22,2021-06-20
fire_01438,-120.729446,41.583949,2021-05-23,2021-06-21
fire_01439,-120.987172,36.63228,2021-05-24,2021-06-22
fire_01440,-122.481055,40.475558,2021-05-24,2021-06-22
fire_01441,-117.095858,33.337282,2021-05-24,2021-06-22
fire_01442,-120.497502,41.562302,2021-05-25,2021-06-23
fire_01443,-121.584194,37.118582,2021-05-26,2021-06-24
fire_01444,-120.876096,38.659971,2021-05-27,2021-06-25
fire_01445,-122.329,41.459,2021-05-25,2021-06-23
fire_01446,-118.793912,35.442533,2021-05-27,2021-06-25
fire_01447,-118.891,34.919,2021-05-28,2021-06-26
fire_01448,-121.406,40.039,2021-05-28,2021-06-26
fire_01449,-119.735,36.932,2021-05-28,2021-06-26
fire_01450,-117.280416,34.20849,2021-05-29,2021-06-27
fire_01451,-117.050236,33.740058,2021-05-29,2021-06-27
fire_01452,-122.054254,41.665191,2021-05-29,2021-06-27
fire_01453,-122.054254,41.665191,2021-05-29,2021-06-27
fire_01454,-122.374848,41.917209,2021-05-29,2021-06-27
fire_01455,-119.25484409482164,37.02865766813302,2021-05-31,2021-06-29
fire_01456,-122.348956,40.860525,2021-05-31,2021-06-29
fire_01457,-116.677511,33.119448,2021-06-03,2021-07-02
fire_01458,-119.017899,36.10007,2021-06-03,2021-07-02
fire_01459,-120.3415,39.83203,2021-06-04,2021-07-03
fire_01460,-118.87933,34.808751,2021-06-04,2021-07-03
